#{"t_start": 1747792596.386986, "env_id": "None"}
r,l,t
58.759148,1,774.625382
58.934643,1,775.639677
59.715216,1,776.581516
58.141605,1,777.618832
59.912118,1,778.44627
59.90629,1,779.377257
59.30082,1,780.34775
59.17703,1,781.33572
60.402822,1,782.182035
60.022711,1,783.170283
59.124253,1,784.011762
57.972943,1,784.992603
57.989246,1,785.853314
59.448262,1,786.837484
58.111759,1,787.695723
59.57723,1,788.594696
59.067942,1,789.656749
59.016077,1,790.659039
58.960648,1,791.501791
60.079343,1,792.52995
59.306563,1,793.387222
58.250351,1,794.227834
59.829001,1,795.184965
58.82138,1,796.159809
59.194792,1,797.013482
59.017703,1,798.026759
59.438179,1,798.910822
58.722179,1,799.892506
58.019339,1,800.774851
58.540769,1,801.626385
57.592398,1,802.608
59.692542,1,803.577616
59.666351,1,804.421226
58.359058,1,805.415115
59.713243,1,806.263273
58.540859,1,807.245687
59.531533,1,808.097938
59.372596,1,809.063604
59.552419,1,809.921084
59.252738,1,810.770212
59.200391,1,811.747906
59.837979,1,812.740993
58.933737,1,813.60464
57.585634,1,814.620058
59.37679,1,815.496862
59.717042,1,816.364341
59.012702,1,817.345829
59.001491,1,818.345209
60.629028,1,819.187979
58.015162,1,820.187733
60.442992,1,821.01103
59.089352,1,821.981916
59.541245,1,822.856094
58.982186,1,823.739134
58.364108,1,824.701575
59.046206,1,825.717185
58.378803,1,826.548454
58.757159,1,827.524941
59.681705,1,828.389934
58.068425,1,829.383761
58.13207,1,830.238427
59.271298,1,831.250624
59.22123,1,832.496
60.60471,1,833.562275
59.733422,1,834.778084
59.439671,1,835.954065
59.271864,1,836.902111
58.075628,1,838.056317
60.185977,1,839.009072
57.917901,1,839.910737
59.653167,1,840.877388
59.158507,1,841.866735
58.110543,1,842.719926
57.652673,1,843.710517
57.582097,1,844.564743
59.654397,1,845.558694
60.228589,1,846.40917
58.786379,1,847.254152
60.555504,1,848.220587
58.453729,1,849.225741
57.552356,1,850.08772
57.851855,1,851.080566
59.609587,1,851.939841
59.332675,1,852.925154
60.269312,1,853.771982
59.684015,1,854.78851
57.72055,1,855.656872
60.1636,1,856.508988
57.817395,1,857.500989
60.598918,1,858.488955
58.949172,1,859.347729
58.926387,1,860.330121
58.120861,1,861.197415
59.569997,1,862.045117
